county,state,date_only,wind_speed_max,wind_gust_max,wind_dir,precip_sum,rain_sum,snowfall_sum,temp_mean,temp_max,temp_min,soil_moisture_shallow,soil_moisture_deep
Middlesex,Massachusetts,2020-08-22,9.2,22.4,268,6.8,6.8,0.0,22.7,29.4,17.6,0.1836,0.176
Bergen,New Jersey,2020-04-21,15.6,45.2,241,9.2,9.2,0.0,7.8,14.9,3.5,0.3875,0.3854
Suffolk,Massachusetts,2020-04-13,30.6,67.1,191,27.2,27.2,0.0,13.2,15.3,9.2,0.3968,0.3912
Ocean,New Jersey,2020-04-13,30.8,76.1,194,34.4,34.4,0.0,16.1,21.5,13.4,0.4057,0.3721
Hartford,Connecticut,2020-04-13,23.4,61.3,183,44.7,44.7,0.0,13.5,15.1,10.7,0.4077,0.3997
Ocean,New Jersey,2020-04-09,22.7,52.1,239,7.3,7.3,0.0,11.7,20.1,7.6,0.3726,0.3329
Ocean,New Jersey,2020-04-10,24.3,50.1,284,0.0,0.0,0.0,6.9,10.1,3.6,0.3642,0.3481
Worcester,Massachusetts,2020-08-27,9.0,46.3,268,14.2,14.2,0.0,16.3,22.4,12.6,0.146,0.0858
Middlesex,Massachusetts,2020-08-27,6.7,19.7,272,18.2,18.2,0.0,17.0,22.6,13.2,0.2222,0.1698
Hartford,Connecticut,2020-08-02,13.4,33.1,174,5.3,5.3,0.0,25.0,30.1,21.5,0.1769,0.183
Providence,Rhode Island,2020-08-22,8.7,26.8,242,0.7,0.7,0.0,24.0,31.0,19.0,0.2323,0.2135
Allegheny,Pennsylvania,2020-03-29,23.1,55.0,223,14.7,14.7,0.0,17.9,23.6,13.8,0.5002,0.5097
Androscoggin,Maine,2020-04-09,14.3,32.4,120,36.8,9.3,19.25,3.3,7.4,0.9,0.2719,0.2584
Kennebec,Maine,2020-04-09,15.7,36.2,123,36.3,8.3,19.6,3.2,7.4,0.6,0.3758,0.372
Providence,Rhode Island,2020-06-06,9.6,24.4,240,7.6,7.6,0.0,22.1,29.1,17.8,0.3434,0.2255
New Haven,Connecticut,2020-08-22,10.7,24.2,223,2.6,2.6,0.0,24.4,30.1,19.9,0.2111,0.1865
Fairfield,Connecticut,2020-08-25,12.2,33.3,294,0.2,0.2,0.0,25.9,33.0,20.9,0.1373,0.1063
Middlesex,Massachusetts,2020-06-28,6.9,19.7,233,8.2,8.2,0.0,22.0,29.0,17.0,0.2045,0.1578
